question_id,exercise_id,question_text,option_a,option_b,option_c,option_d,correct_answer,marks,display_order,image_data,image_mime_type,image_path,image_url
3634,367,A catalyst is added to an equilibrium system. What effect does this have on the equilibrium constant (Kc)?,Kc increases,Kc decreases,Kc remains unchanged,Kc becomes zero,C,1,7,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_7.jpg
3635,367,Which of the following is NOT a factor that changes the value of Kc?,Temperature,Pressure,Catalyst,Both b and c,D,1,8,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_8.jpg
3636,367,"In the Haber process, N₂(g) + 3H₂(g) ⇌ 2NH₃(g) (exothermic), a temperature of approximately 450°C is used as a compromise. Why is this temperature chosen rather than a lower temperature?",Lower temperature would decrease the reaction rate too much,Lower temperature would favour the reverse reaction,Higher temperature increases the yield of ammonia,The catalyst only works above 500°C,A,1,9,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_9.jpg
3637,367,"For the reaction 2SO₂(g) + O₂(g) ⇌ 2SO₃(g) (exothermic), the Contact Process operates at about 1-2 atm rather than higher pressures. What is the main reason for this?",Higher pressure favours the reverse reaction,The yield of SO₃ is already above 90% at 1 atm,Higher pressure destroys the catalyst,SO₂ and O₂ cannot be compressed,B,1,10,,,,/uploads/questions/chemical_equilibrium_exercise_1_question_10.jpg
3638,368,"At equilibrium, which of the following remains constant?",The rate of the forward reaction only,The rate of the reverse reaction only,The concentrations of reactants and products,The temperature of the system only,C,1,1,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_1.jpg
3639,368,"For the reaction 2NO₂(g) ⇌ N₂O₄(g), the forward reaction is exothermic. What colour change is observed when the temperature is decreased?",The brown colour intensifies (more NO₂),The brown colour fades (more N₂O₄),No colour change occurs,The colour changes to blue,B,1,2,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_2.jpg
3640,368,Write the Kc expression for the reaction 2H₂S(g) + CH₄(g) ⇌ CS₂(g) + 4H₂(g).,Kc = [CS₂][H₂]⁴ / [H₂S]²[CH₄],Kc = [H₂S]²[CH₄] / [CS₂][H₂]⁴,Kc = [CS₂][H₂] / [H₂S][CH₄],Kc = [H₂S]²[CH₄] / [CS₂][H₂]⁴,A,1,3,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_3.jpg
3641,368,"In the Haber process, why is ammonia removed as it forms?",To increase the pressure in the reactor,To shift the equilibrium to the right (more product),To cool the reactor,To prevent the catalyst from poisoning,B,1,4,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_4.jpg
3642,368,"For the reaction CaCO₃(s) ⇌ CaO(s) + CO₂(g), why is the concentration of CaCO₃ and CaO omitted from the Kc expression?",They are gases,They are solids and their concentrations are constant,They are liquids,They are not part of the reaction,B,1,5,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_5.jpg
3643,368,"For the reaction 2SO₂(g) + O₂(g) ⇌ 2SO₃(g), what happens to the volume of the system as the reaction proceeds towards products?",Volume increases,Volume decreases,Volume stays the same,Volume fluctuates,B,1,6,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_6.jpg
3644,368,"In the Contact Process, why is a moderate temperature (400-450°C) used rather than a lower temperature?",Lower temperature favours the reverse reaction,Lower temperature would slow the reaction rate too much,Higher temperature increases the yield of SO₃,The catalyst requires high temperature to work,B,1,7,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_7.jpg
3645,368,"For the reaction H₂(g) + I₂(g) ⇌ 2HI(g), Kc = 50 at 450°C. What is the significance of this Kc value?",Reactants are favoured,Products are favoured,The reaction has reached completion,No reaction occurs,B,1,8,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_8.jpg
3646,368,"For an exothermic reaction, how does increasing the temperature affect the equilibrium position?",Favours the forward reaction (products),Favours the reverse reaction (reactants),Has no effect on equilibrium,Causes both reactions to stop,B,1,9,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_9.jpg
3647,368,"In the Haber process, a pressure of approximately 200 atm is used. Why not use a higher pressure?",Higher pressure would decrease the yield of NH₃,Higher pressure is too expensive and dangerous,Higher pressure would favour the reverse reaction,Higher pressure destroys the catalyst,B,1,10,,,,/uploads/questions/chemical_equilibrium_exercise_2_question_10.jpg
3648,369,Which of the following statements is true when a reversible reaction reaches equilibrium?,The concentration of products increases continuously,The concentration of reactants decreases continuously,The concentrations of reactants and products remain constant,The reaction stops completely,C,1,1,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_1.jpg
3649,369,"For the reaction N₂(g) + 3H₂(g) ⇌ 2NH₃(g), increasing the pressure will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop the reaction,B,1,2,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_2.jpg
3650,369,Write the Kc expression for the reaction 2A(g) + 3B(g) ⇌ 4C(g).,Kc = [C]⁴ / [A]²[B]³,Kc = [A]²[B]³ / [C]⁴,Kc = [C] / [A][B],Kc = [A]²[B]³ / [C]⁴,A,1,3,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_3.jpg
3651,369,"For the reaction 2SO₂(g) + O₂(g) ⇌ 2SO₃(g), adding more O₂ to the system will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop the reaction,B,1,4,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_4.jpg
3652,369,"In the Haber process, a temperature of 450°C is used instead of the optimum yield temperature. Why?",To increase the percentage yield of ammonia,To decrease the rate of reaction,To achieve a reasonable rate of reaction while maintaining a reasonable yield,To prevent the reverse reaction from occurring,C,1,5,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_5.jpg
3653,369,"For the reaction 2A(g) ⇌ B(g), increasing pressure will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop both reactions,B,1,6,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_6.jpg
3654,369,"For the reaction PCl₅(g) ⇌ PCl₃(g) + Cl₂(g), Kc = 0.02 at 250°C. What does this indicate about the equilibrium?",Products are favoured,Reactants are favoured,The reaction is fast,The reaction is slow,B,1,7,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_7.jpg
3655,369,A catalyst is added to an equilibrium system. What is the effect on the time taken to reach equilibrium?,Time is shorter,Time is longer,Time is unchanged,Equilibrium is never reached,A,1,8,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_8.jpg
3656,369,"For the endothermic reaction N₂O₄(g) ⇌ 2NO₂(g), what happens when the temperature is increased?",Favours reactants (more N₂O₄),Favours products (more NO₂),No effect on equilibrium,Both reactions stop,B,1,9,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_9.jpg
3657,369,"In the Contact Process, why is a temperature of 450°C chosen rather than a lower temperature that gives higher yield?",Lower temperature increases the rate of reaction,Lower temperature would slow the reaction rate too much,Higher temperature favours the forward reaction,The catalyst works only above 500°C,B,1,10,,,,/uploads/questions/chemical_equilibrium_exercise_3_question_10.jpg
3658,370,"At equilibrium, which of the following is true about the rates of the forward and reverse reactions?",The forward reaction is faster,The reverse reaction is faster,Both reactions have equal rates,Both reactions have stopped,C,1,1,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_1.jpg
3659,370,"For the exothermic reaction 2SO₂(g) + O₂(g) ⇌ 2SO₃(g), increasing the temperature will:",Favour the forward reaction (more SO₃),Favour the reverse reaction (more SO₂ and O₂),Have no effect on equilibrium,Stop both reactions,B,1,2,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_2.jpg
3660,370,Write the Kc expression for the reaction A(g) + 2B(g) ⇌ 3C(g).,Kc = [C]³ / [A][B]²,Kc = [A][B]² / [C]³,Kc = [C] / [A][B],Kc = [A][B] / [C]³,A,1,3,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_3.jpg
3661,370,"In the Haber process, why are unreacted gases recycled?",To increase the pressure in the reactor,To increase the overall conversion of reactants to products,To cool the reactor,To prevent the catalyst from poisoning,B,1,4,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_4.jpg
3662,370,"For the reaction 2A(s) + B(g) ⇌ C(g), why is the concentration of A omitted from the Kc expression?",It is a liquid,It is a solid and its concentration is constant,It is a gas,It is not part of the reaction,B,1,5,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_5.jpg
3663,370,"For the reaction A + B ⇌ C + D, adding more A to the system will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop both reactions,B,1,6,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_6.jpg
3690,373,Chlorine produced in the chlor-alkali industry is used for:,Producing margarine,Disinfecting water and producing PVC,Neutralising acids,Producing rocket fuel,B,1,3,,,,/uploads/questions/chlor_alkali_exercise_2_question_3.jpg
3664,370,"For the reaction N₂(g) + 3H₂(g) ⇌ 2NH₃(g), Kc = 4.34×10⁻³ at 450°C. What does this Kc value indicate?",The reaction favours products,The reaction favours reactants,The reaction has reached completion,The reaction is fast,B,1,7,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_7.jpg
3665,370,A catalyst is added to an equilibrium system. What effect does this have on the equilibrium position?,Shifts to the right,Shifts to the left,No shift occurs,The system becomes unstable,C,1,8,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_8.jpg
3666,370,"For the exothermic reaction 2NO₂(g) ⇌ N₂O₄(g), what colour change is observed when the temperature is decreased?",The brown colour intensifies (more NO₂),The brown colour fades (more N₂O₄),No colour change occurs,The colour changes to blue,B,1,9,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_9.jpg
3667,370,"In the Contact Process, what is the main reason for using a moderate temperature of 450°C?",To maximise the yield of SO₃,To achieve a high rate of reaction while maintaining a reasonable yield,To prevent the formation of SO₂,To allow the catalyst to work,B,1,10,,,,/uploads/questions/chemical_equilibrium_exercise_4_question_10.jpg
3668,371,What is meant by dynamic equilibrium in a chemical reaction?,The forward reaction has stopped,The reverse reaction has stopped,Both reactions are occurring at equal rates,All reactants have been converted to products,C,1,1,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_1.jpg
3669,371,"For the reaction 2A(g) + 3B(g) ⇌ 4C(g), removing C from the system will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop both reactions,B,1,2,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_2.jpg
3670,371,Write the Kc expression for the reaction 2A(g) + B(g) ⇌ 2C(g).,Kc = [C]² / [A]²[B],Kc = [A]²[B] / [C]²,Kc = [C] / [A][B],Kc = [A][B] / [C]²,A,1,3,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_3.jpg
3671,371,"In the Haber process, why is a pressure of approximately 200 atm used rather than a higher pressure?",Higher pressure would decrease the yield of NH₃,Higher pressure would be too expensive and dangerous,Higher pressure would favour the reverse reaction,Higher pressure destroys the catalyst,B,1,4,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_4.jpg
3672,371,"For the reaction A(aq) + B(aq) ⇌ C(g) + D(l), what is the Kc expression?",Kc = [C] / [A][B],Kc = [A][B] / [C],Kc = [C][D] / [A][B],Kc = [A][B] / [C][D],A,1,5,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_5.jpg
3673,371,"For the reaction CO(g) + H₂O(g) ⇌ CO₂(g) + H₂(g), adding more CO to the system will:",Favour the reverse reaction,Favour the forward reaction,Have no effect on equilibrium,Stop both reactions,B,1,6,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_6.jpg
3674,371,"For the exothermic reaction 2SO₂(g) + O₂(g) ⇌ 2SO₃(g), how does Kc change with increasing temperature?",Kc increases,Kc decreases,Kc remains constant,Kc becomes zero,B,1,7,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_7.jpg
3675,371,An inert gas is added to an equilibrium system at constant volume. What effect does this have on the equilibrium position?,Shifts to the right,Shifts to the left,No shift occurs,The system becomes unstable,C,1,8,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_8.jpg
3676,371,"For the endothermic reaction N₂O₄(g) ⇌ 2NO₂(g), what colour change is observed when the temperature is increased?",The colourless gas intensifies (more N₂O₄),The brown colour intensifies (more NO₂),No colour change occurs,The colour changes to green,B,1,9,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_9.jpg
3677,371,"In the Haber process, what is the main reason for using a moderate temperature of 450°C?",To maximise the yield of ammonia,To achieve a high rate of reaction while maintaining a reasonable yield,To prevent the decomposition of ammonia,To allow the catalyst to work,B,1,10,,,,/uploads/questions/chemical_equilibrium_exercise_5_question_10.jpg
3678,372,The chlor-alkali industry is based on the electrolysis of:,Sodium chloride solution,Hydrochloric acid,Sodium hydroxide solution,Chlorine gas,A,1,1,,,,/uploads/questions/chlor_alkali_exercise_1_question_1.jpg
3679,372,Which product of the chlor-alkali industry is a yellow-green poisonous gas used to disinfect water and produce PVC plastics?,H₂(g),Cl₂(g),NaOH(aq),NaCl(aq),B,1,2,,,,/uploads/questions/chlor_alkali_exercise_1_question_2.jpg
3680,372,"At the cathode of a membrane cell, the half-reaction is: 2H₂O + 2e⁻ → H₂(g) + 2OH⁻. Which process occurs at the cathode?",Oxidation,Neutralisation,Reduction,Sublimation,C,1,3,,,,/uploads/questions/chlor_alkali_exercise_1_question_3.jpg
3681,372,"A chlor-alkali plant is being designed. The engineers choose a cell that produces relatively pure Cl₂ mixed with a very small amount of O₂, produces NaOH(aq) of high purity, has the lowest energy consumption, and has the lowest environmental impact with non-toxic, reusable components. Which type of cell is being chosen?",Mercury cell,Diaphragm cell,Voltaic cell,Membrane cell,D,1,4,,,,/uploads/questions/chlor_alkali_exercise_1_question_4.jpg
3682,372,Sodium hydroxide (NaOH) is a product of the chlor-alkali industry. What is one of its main uses?,Production of soap and paper,Rocket fuel,Production of hydrochloric acid,Disinfecting water,A,1,5,,,,/uploads/questions/chlor_alkali_exercise_1_question_5.jpg
3683,372,"Which cell used in the chlor-alkali industry contains a diaphragm made from asbestos, posing health risks such as asbestosis and cancer to workers?",Mercury cell,Diaphragm cell,Membrane cell,Electrolytic cell,B,1,6,,,,/uploads/questions/chlor_alkali_exercise_1_question_6.jpg
3684,372,"Which product of the chlor-alkali industry is a colourless, explosive gas used in the hydrogenation of unsaturated hydrocarbons to produce margarine?",Cl₂(g),O₂(g),H₂(g),N₂(g),C,1,7,,,,/uploads/questions/chlor_alkali_exercise_1_question_7.jpg
3685,372,"In the membrane cell, the membrane is called a cationic membrane because:",It allows only negative ions (anions) to pass through,It allows both positive and negative ions to pass through,It allows no ions to pass through,It allows only positive ions (cations) to pass through,D,1,8,,,,/uploads/questions/chlor_alkali_exercise_1_question_8.jpg
3686,372,What is the overall reaction for the chlor-alkali industrial process?,2NaCl(aq) + 2H₂O(ℓ) → H₂(g) + Cl₂(g) + 2NaOH(aq),NaCl(aq) + H₂O(ℓ) → HCl(aq) + NaOH(aq),2NaCl(aq) → 2Na(s) + Cl₂(g),2NaOH(aq) + Cl₂(g) → NaCl(aq) + NaClO(aq) + H₂O(ℓ),A,1,9,,,,/uploads/questions/chlor_alkali_exercise_1_question_9.jpg
3687,372,Why are chlor-alkali plants (factories) built far from living areas?,The raw materials are difficult to transport,"The products are corrosive, poisonous, or explosive",The process requires very low temperatures,The process requires direct sunlight,B,1,10,,,,/uploads/questions/chlor_alkali_exercise_1_question_10.jpg
3688,373,Which chlor-alkali cell is considered the most environmentally friendly?,Mercury cell,Diaphragm cell,Membrane cell,All are equally safe,C,1,1,,,,/uploads/questions/chlor_alkali_exercise_2_question_1.jpg
3691,373,"In the membrane cell, which ions pass through the cationic membrane from the anode compartment to the cathode compartment?",Cl⁻ ions,OH⁻ ions,Na⁺ ions,Both Na⁺ and Cl⁻ ions,C,1,4,,,,/uploads/questions/chlor_alkali_exercise_2_question_4.jpg
3692,373,Hydrogen gas produced in the chlor-alkali industry is used for:,Disinfecting water,Producing bleach,Hydrogenation of unsaturated fats,Producing PVC,C,1,5,,,,/uploads/questions/chlor_alkali_exercise_2_question_5.jpg
3693,373,The reaction at the anode in the chlor-alkali industry is: 2Cl⁻ → Cl₂ + 2e⁻. What type of reaction is this?,Reduction,Oxidation,Neutralisation,Sublimation,B,1,6,,,,/uploads/questions/chlor_alkali_exercise_2_question_6.jpg
3694,373,What is a major disadvantage of the diaphragm cell?,It produces no chlorine gas,The NaOH product is contaminated with NaCl,It requires a very high temperature,It produces no hydrogen gas,B,1,7,,,,/uploads/questions/chlor_alkali_exercise_2_question_7.jpg
3695,373,Sodium hydroxide (NaOH) is a product of the chlor-alkali industry. What is another use for NaOH?,Production of margarine,Disinfecting water,Paper and soap production,Hydrogenation of unsaturated fats,C,1,8,,,,/uploads/questions/chlor_alkali_exercise_2_question_8.jpg
3696,373,Which chlor-alkali cell produces the purest NaOH without toxic materials?,Mercury cell,Diaphragm cell,Membrane cell,None of the above,C,1,9,,,,/uploads/questions/chlor_alkali_exercise_2_question_9.jpg
3697,373,What are the three main products of the chlor-alkali industry?,"HCl, NaOH, and H₂O","Cl₂, H₂, and NaOH","NaCl, Cl₂, and H₂","NaOH, NaCl, and HCl",B,1,10,,,,/uploads/questions/chlor_alkali_exercise_2_question_10.jpg
3698,374,Which cell type in the chlor-alkali industry is most energy efficient?,Mercury cell,Diaphragm cell,Membrane cell,All are equal,C,1,1,,,,/uploads/questions/chlor_alkali_exercise_3_question_1.jpg
3699,374,Chlorine gas produced in the chlor-alkali industry is used for:,Hydrogenation of oils,Disinfecting water,Soap production,Paper production,B,1,2,,,,/uploads/questions/chlor_alkali_exercise_3_question_2.jpg
3700,374,"In the mercury cell, what happens to the sodium metal produced at the cathode?",It reacts with chlorine to form NaCl,It dissolves in the mercury to form an amalgam,It reacts with water immediately,It forms a solid layer on the cathode,B,1,3,,,,/uploads/questions/chlor_alkali_exercise_3_question_3.jpg
3701,374,Why is the mercury cell being phased out?,It produces no chlorine,It releases toxic mercury into the environment,It is too expensive to operate,It produces no hydrogen,B,1,4,,,,/uploads/questions/chlor_alkali_exercise_3_question_4.jpg
3702,374,What is the cathode half-reaction in the chlor-alkali industry?,2Cl⁻ → Cl₂ + 2e⁻,2H₂O + 2e⁻ → H₂ + 2OH⁻,Na⁺ + e⁻ → Na,2H₂O → O₂ + 4H⁺ + 4e⁻,B,1,5,,,,/uploads/questions/chlor_alkali_exercise_3_question_5.jpg
3703,374,What health risk is associated with the diaphragm cell?,Mercury poisoning,Asbestosis and cancer from asbestos,Chlorine poisoning,Sodium hydroxide burns,B,1,6,,,,/uploads/questions/chlor_alkali_exercise_3_question_6.jpg
3704,374,Chlorine gas is used in the production of:,Margarine,Polyvinyl Chloride plastics,Soap,Paper,B,1,7,,,,/uploads/questions/chlor_alkali_exercise_3_question_7.jpg
3705,374,Why does the membrane in a membrane cell allow Na⁺ ions to pass through but not Cl⁻ ions?,The membrane is made of glass,"The membrane has a positive charge, repelling cations","The membrane has a negative charge, attracting cations and repelling anions",The membrane allows all ions to pass through,C,1,8,,,,/uploads/questions/chlor_alkali_exercise_3_question_8.jpg
3706,374,Which of the following is the correct balanced equation for the chlor-alkali process?,2NaCl + 2H₂O → 2NaOH + Cl₂ + H₂,NaCl + H₂O → NaOH + HCl,2NaCl + H₂O → 2NaOH + Cl₂,NaCl + 2H₂O → NaOH + Cl₂ + H₂,A,1,9,,,,/uploads/questions/chlor_alkali_exercise_3_question_9.jpg
3707,374,Which products of the chlor-alkali industry are hazardous to health?,NaCl only,"NaOH, Cl₂, and H₂",NaCl and NaOH only,NaOH only,B,1,10,,,,/uploads/questions/chlor_alkali_exercise_3_question_10.jpg
3708,375,"In the electrolysis of sodium chloride solution, electrons flow from the anode to the cathode through the:",Solution,External circuit,Membrane,Mercury,B,1,1,,,,/uploads/questions/chlor_alkali_exercise_4_question_1.jpg
3709,375,The reaction 2Cl⁻ → Cl₂ + 2e⁻ occurs at the:,Cathode,Anode,Membrane,Mercury,B,1,2,,,,/uploads/questions/chlor_alkali_exercise_4_question_2.jpg
3710,375,The asbestos diaphragm used in the diaphragm cell poses a health risk because:,It is made of mercury,It releases toxic chlorine gas,It causes asbestosis and cancer,It reacts with sodium hydroxide,C,1,3,,,,/uploads/questions/chlor_alkali_exercise_4_question_3.jpg
3711,375,"At the cathode in the chlor-alkali industry, water is reduced to:",O₂ and OH⁻,H₂ and OH⁻,H₂ and Cl₂,NaCl and H₂O,B,1,4,,,,/uploads/questions/chlor_alkali_exercise_4_question_4.jpg
3712,375,"In the mercury cell, why is the mercury pumped to a separate reactor?",To produce more chlorine,To allow the sodium amalgam to react with water to form NaOH and H₂,To remove impurities from the mercury,To cool the mercury,B,1,5,,,,/uploads/questions/chlor_alkali_exercise_4_question_5.jpg
3713,375,Which chlor-alkali cell has the lowest environmental impact?,Mercury cell,Diaphragm cell,Membrane cell,Mercury and diaphragm cell,C,1,6,,,,/uploads/questions/chlor_alkali_exercise_4_question_6.jpg
3714,375,Sodium hydroxide (NaOH) is a product of the chlor-alkali industry. What is a common name for NaOH?,Caustic soda,Baking soda,Washing soda,Soda ash,A,1,7,,,,/uploads/questions/chlor_alkali_exercise_4_question_7.jpg
3715,375,"In the membrane cell, why does NaOH form in the cathode compartment and not mix with NaCl in the anode compartment?",The membrane prevents OH⁻ from moving to the anode,The anode attracts OH⁻ ions,The cathode repels OH⁻ ions,NaOH is insoluble,A,1,8,,,,/uploads/questions/chlor_alkali_exercise_4_question_8.jpg
3716,375,Hydrogen gas produced in the chlor-alkali industry is used for:,Disinfecting water,Producing soap,Hydrogenation of unsaturated fats,Producing PVC,C,1,9,,,,/uploads/questions/chlor_alkali_exercise_4_question_9.jpg
3717,375,Which chlor-alkali cell has the lowest energy consumption?,Mercury cell,Diaphragm cell,Membrane cell,All have the same energy consumption,C,1,10,,,,/uploads/questions/chlor_alkali_exercise_4_question_10.jpg
3718,376,"In a membrane cell, what is the function of the cationic membrane?",To allow Cl⁻ ions to pass through,To allow Na⁺ ions to pass through while blocking Cl⁻ ions,To block all ions,To allow all ions to pass through,B,1,1,,,,/uploads/questions/chlor_alkali_exercise_5_question_1.jpg
3720,376,The diaphragm in the diaphragm cell is made of asbestos. What is the main risk of using asbestos?,It is corrosive,It is toxic if ingested,It causes respiratory diseases such as asbestosis,It is explosive,C,1,3,,,,/uploads/questions/chlor_alkali_exercise_5_question_3.jpg
3721,376,"At the anode in the chlor-alkali industry, chloride ions are:",Reduced to chlorine gas,Oxidised to chlorine gas,Neutralised to chlorine gas,Dissolved in mercury,B,1,4,,,,/uploads/questions/chlor_alkali_exercise_5_question_4.jpg
3722,376,The mercury cell produces a sodium amalgam (Na/Hg). What happens to this amalgam?,It is disposed of as waste,It is reacted with water to produce NaOH and H₂,It is reacted with chlorine to produce NaCl,It is heated to produce sodium metal,B,1,5,,,,/uploads/questions/chlor_alkali_exercise_5_question_5.jpg
3723,376,Which cells produce NaOH of high purity?,Mercury cell only,Diaphragm cell only,Mercury cell and membrane cell,All three cells,C,1,6,,,,/uploads/questions/chlor_alkali_exercise_5_question_6.jpg
3724,376,"In the overall reaction for the chlor-alkali process, what are the three products?","NaOH, Cl₂, and H₂","NaCl, HCl, and H₂","NaOH, HCl, and O₂","Na, Cl₂, and H₂O",A,1,7,,,,/uploads/questions/chlor_alkali_exercise_5_question_7.jpg
3725,376,Chlorine gas produced in the chlor-alkali industry is used for all of the following EXCEPT:,Disinfecting water,Producing PVC plastics,Hydrogenation of oils,Producing bleach,C,1,8,,,,/uploads/questions/chlor_alkali_exercise_5_question_8.jpg
3726,376,"In a membrane cell, why does Cl₂ form at the anode and H₂ at the cathode?",Cl⁻ ions are oxidised at the anode; H₂O is reduced at the cathode,Cl⁻ ions are reduced at the anode; H₂O is oxidised at the cathode,Both reactions occur at the same electrode,The reactions are reversed,A,1,9,,,,/uploads/questions/chlor_alkali_exercise_5_question_9.jpg
3727,376,Which products of the chlor-alkali industry require special safety precautions due to their hazardous nature?,NaCl only,NaOH only,Cl₂ and H₂ only,"Cl₂, H₂, and NaOH",D,1,10,,,,/uploads/questions/chlor_alkali_exercise_5_question_10.jpg
3728,377,The Doppler Effect refers to the change in frequency or pitch of sound or the colour of light when:,The wave source and observer move relative to each other,The wave source and observer are stationary,The wave source is stationary and the observer is stationary,The medium of wave propagation changes,A,1,1,,,,/uploads/questions/doppler_effect_exercise_1_question_1.jpg
3729,377,A car approaches a stationary listener with its hooter sounding. What happens to the sound waves in front of the car?,They are stretched out,They are compressed,They remain the same,They disappear,B,1,2,,,,/uploads/questions/doppler_effect_exercise_1_question_2.jpg
3730,377,A star moving away from Earth shows a red shift. This means that:,The wavelength of light from the star has decreased,The frequency of light from the star has increased,The wavelength of light from the star has increased,The star is moving towards Earth,C,1,3,,,,/uploads/questions/doppler_effect_exercise_1_question_3.jpg
3731,377,A Doppler flow meter is used to measure the rate of blood flow in a patient's blood vessels. A catheter connected to the meter is inserted into a blood vessel and emits sound waves at a very high frequency that humans cannot hear. Blood velocity through the heart causes a shift in the frequency of returning waves. What type of wave is used in a Doppler flow meter?,Radio waves,X-rays,Gamma rays,Ultrasound waves,D,1,4,,,,/uploads/questions/doppler_effect_exercise_1_question_4.jpg
3732,377,"The speed of light (and all other electromagnetic radiation) is constant at 3 × 10⁸ m·s⁻¹. For light, the relationship between speed, frequency and wavelength is:",c = fλ,c = f/λ,c = λ/f,c = f + λ,A,1,5,,,,/uploads/questions/doppler_effect_exercise_1_question_5.jpg
3733,377,"The wavelength of light is usually measured in nanometres (nm). If a wavelength is 500 nm, what is this in metres?",5 × 10⁻⁹ m,5 × 10⁻⁷ m,5 × 10⁻¹¹ m,5 × 10⁻⁵ m,B,1,6,,,,/uploads/questions/doppler_effect_exercise_1_question_6.jpg
3734,377,"For a stationary listener (VL = 0) and a source moving away at speed Vs, the Doppler formula is:",fL = V / (V - Vs) × fs,fL = (V + Vs) / V × fs,fL = V / (V + Vs) × fs,fL = (V - Vs) / V × fs,C,1,7,,,,/uploads/questions/doppler_effect_exercise_1_question_7.jpg
3735,377,Ultrasound waves are longitudinal waves with a frequency above:,20 Hz,200 Hz,2 000 Hz,20 000 Hz,D,1,8,,,,/uploads/questions/doppler_effect_exercise_1_question_8.jpg
3736,377,A star moving towards Earth shows a blue shift. This means that:,The wavelength of light has decreased,The star appears red,The star is moving away from Earth,The frequency of light has decreased,A,1,9,,,,/uploads/questions/doppler_effect_exercise_1_question_9.jpg
3737,377,"In the Doppler Effect formula fL = (V ± VL) / (V ± Vs) × fs, what is the sign convention for Vs when the source moves towards the listener?",Vs is positive (+),Vs is negative (-),Vs is zero,Vs is equal to V,B,1,10,,,,/uploads/questions/doppler_effect_exercise_1_question_10.jpg
3738,378,An ambulance approaches a stationary observer with its siren sounding. What happens to the pitch heard by the observer as the ambulance approaches?,The pitch increases (frequency increases),The pitch decreases (frequency decreases),The pitch remains the same,The pitch becomes zero,A,1,1,,,,/uploads/questions/doppler_effect_exercise_2_question_1.jpg
3739,378,An ambulance moves away from a stationary observer with its siren sounding. What happens to the pitch heard by the observer as the ambulance moves away?,The pitch increases (frequency increases),The pitch decreases (frequency decreases),The pitch remains the same,The pitch becomes zero,B,1,2,,,,/uploads/questions/doppler_effect_exercise_2_question_2.jpg
3740,378,What evidence from the spectrum of a star indicates that it is moving towards Earth?,Red shift (wavelength increases),Blue shift (wavelength decreases),No shift in the spectrum,The spectrum disappears,B,1,3,,,,/uploads/questions/doppler_effect_exercise_2_question_3.jpg
3741,378,"In a Doppler flow meter, the frequency shift is used to determine:",The temperature of the blood,The velocity of the blood flow,The colour of the blood,The type of blood cells,B,1,4,,,,/uploads/questions/doppler_effect_exercise_2_question_4.jpg
3742,378,"When a source moves through a medium, the wavelength in front of the source is:",λ = (V + Vs)/f,λ = V/f,λ = (V - Vs)/f,λ = Vs/f,C,1,5,,,,/uploads/questions/doppler_effect_exercise_2_question_5.jpg
